New Shipment ID,Old Shipment ID,Original Parcel Type
260,9.18E+14,Parcel
260,9.18E+14,Parcel
260,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
261,9.18E+14,Parcel
262,2.78E+14,Parcel
262,2.78E+14,Parcel
262,2.78E+14,Parcel
263,6.82E+11,Parcel
263,6.82E+11,Parcel
264,9.18E+14,Parcel
264,9.18E+14,Parcel
265,9.18E+14,Parcel
266,9.18E+14,Parcel
267,6.82E+11,Parcel
268,FOX0112093,LTL
269,2.78E+14,Parcel
269,2.78E+14,Parcel
269,2.78E+14,Parcel
269,2.78E+14,Parcel
270,6.82E+11,Parcel
271,6.59E+11,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
272,9.18E+14,Parcel
273,FOX0114395,LTL
274,9.18E+14,Parcel
274,9.18E+14,Parcel
274,9.18E+14,Parcel
274,9.18E+14,Parcel
274,9.18E+14,Parcel
275,9.18E+14,Parcel
276,9.18E+14,Parcel
277,6.82E+11,Parcel
278,9.18E+14,Parcel
279,6.59E+11,Parcel
280,9.18E+14,Parcel
281,9.18E+14,Parcel
282,9.18E+14,Parcel
282,9.18E+14,Parcel
283,FOX0127071,LTL
283,FOX0126919,LTL
284,9.18E+14,Parcel
284,9.18E+14,Parcel
285,9.18E+14,Parcel
285,9.18E+14,Parcel
286,6.59E+11,Parcel
286,6.59E+11,Parcel
286,6.59E+11,Parcel
286,6.59E+11,Parcel
287,9.18E+14,Parcel
288,6.59E+11,Parcel
289,9.18E+14,Parcel
290,9.18E+14,Parcel
290,9.18E+14,Parcel
290,9.18E+14,Parcel
